,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
FCER1A,0.0763859193121666,2.9086733022154476e-12,0.0001243050288964213,1.1102230246251565e-16,0.009900990099009901,8.719037341832573e-05,,,0.011563469779813802
EDNRB,0.0757306915401754,4.387490371016156e-12,0.0001243050288964213,0.0,0.009900990099009901,7.91656689310087e-05,,,0.011563469779813802
CDC42EP1,0.0752669681851355,5.857092588712476e-12,0.0001243050288964213,0.0,0.009900990099009901,7.985157124609774e-05,,,0.011563469779813802
TNFRSF17,0.07389376214482465,1.3642309504291461e-11,0.0001243050288964213,1.2212453270876722e-14,0.009900990099009901,9.309068555370304e-05,,,0.011563469779813802
TCF7,0.07301329882175531,2.3277491045803345e-11,0.0001243050288964213,0.0,0.009900990099009901,7.79983204749424e-05,,,0.011563469779813802
MZB1,0.07271260943684832,2.789801722968832e-11,0.0001243050288964213,0.0,0.009900990099009901,4.853567035512152e-05,,,0.011563469779813802
TENT5C,0.07191129388522124,4.5043302421277076e-11,0.0001243050288964213,0.0,0.009900990099009901,6.646974307063534e-05,,,0.011563469779813802
GLIPR1,0.07123601572976608,6.718248179993225e-11,0.0001243050288964213,6.217248937900877e-15,0.009900990099009901,8.934196596349012e-05,,,0.011563469779813802
LPL,0.07058724892291458,9.830991576365022e-11,0.0001243050288964213,3.3306690738754696e-16,0.009900990099009901,7.461170111320888e-05,,,0.011563469779813802
CCPG1,0.07000855638915306,1.3767820217225335e-10,0.0001243050288964213,2.128297538206425e-13,0.009900990099009901,9.311744767857242e-05,,,0.011563469779813802
SMAP2,0.06972124724572994,1.6257706292321927e-10,0.0001243050288964213,1.199040866595169e-14,0.009900990099009901,8.237452869049337e-05,,,0.011563469779813802
CENPF,0.06843686462282486,3.3911473629189004e-10,0.0001243050288964213,6.661338147750939e-16,0.009900990099009901,7.166915579520869e-05,,,0.011563469779813802
LTB,0.06710263156439089,7.178976302313345e-10,0.0001243050288964213,1.8314239014216582e-12,0.009900990099009901,9.27025991235723e-05,,,0.011563469779813802
FAM49A,0.06668702461436751,9.042339099707419e-10,0.0001243050288964213,1.1102230246251565e-16,0.009900990099009901,6.603028675614925e-05,,,0.011563469779813802
IGSF6,0.06429837839404257,3.317837782290667e-09,0.0001243050288964213,3.071420895395249e-11,0.009900990099009901,9.469284742972648e-05,,,0.011563469779813802
OCIAD2,0.06419587751334066,3.504669443543662e-09,0.0001243050288964213,9.238498854813315e-12,0.009900990099009901,9.160575333712624e-05,,,0.011563469779813802
SRPK1,0.06404562064061356,3.797162362317863e-09,0.0001243050288964213,1.7397194795876203e-13,0.009900990099009901,7.829388017394548e-05,,,0.011563469779813802
IL3RA,0.06400401907320785,3.882254406839536e-09,0.0001243050288964213,1.123701132144106e-11,0.009900990099009901,9.214272820864535e-05,,,0.011563469779813802
AVPR1A,0.06384557627993305,4.2236405484175066e-09,0.0001243050288964213,0.0,0.009900990099009901,4.7526332323659414e-05,,,0.011563469779813802
CD274,0.06361277742034241,4.778728968091173e-09,0.0001243050288964213,1.1879386363489175e-14,0.009900990099009901,6.980409200452177e-05,,,0.011563469779813802
HOOK2,0.06354700840593523,4.947991461001777e-09,0.0001243050288964213,2.59015031645049e-13,0.009900990099009901,7.654951071887693e-05,,,0.011563469779813802
BANK1,0.06181562416036549,1.2220333966972419e-08,0.0001243050288964213,1.406872396358949e-10,0.009900990099009901,9.489560448407197e-05,,,0.011563469779813802
CX3CR1,0.06142962174151518,1.490162837569642e-08,0.0001243050288964213,5.32943023046073e-10,0.009900990099009901,9.745349529612396e-05,,,0.011563469779813802
KARS,0.060479664664189206,2.4159944045365478e-08,0.0001243050288964213,9.390266342279574e-13,0.009900990099009901,7.248197206349171e-05,,,0.011563469779813802
PDE4A,0.05977392822774756,3.443672036418377e-08,0.0001243050288964213,3.009501536865855e-10,0.009900990099009901,9.392423990694284e-05,,,0.011563469779813802
VOPP1,0.05976392588385787,3.460917241682182e-08,0.0001243050288964213,7.513323296848284e-12,0.009900990099009901,8.187161345792702e-05,,,0.011563469779813802
CD27,0.05923565555018814,4.50076730329485e-08,0.0001243050288964213,9.645462206719913e-11,0.009900990099009901,8.55680491610356e-05,,,0.011563469779813802
SEC24A,0.05852395504026607,6.390024609448375e-08,0.0001243050288964213,1.1727285809115529e-11,0.009900990099009901,7.697669204437323e-05,,,0.011563469779813802
PIM1,0.05837621935076784,6.868857305164511e-08,0.0001243050288964213,3.858302566328575e-11,0.009900990099009901,7.936035041108357e-05,,,0.011563469779813802
LARS,0.05824321770321931,7.329483742157805e-08,0.0001243050288964213,1.0854367404888876e-09,0.009900990099009901,8.969613396060738e-05,,,0.011563469779813802
KLRD1,0.05813315355332429,7.733133089438127e-08,0.0001243050288964213,6.394884621840902e-14,0.009900990099009901,6.384835031530701e-05,,,0.011563469779813802
SEC11C,0.057932150235125796,8.526449202239661e-08,0.0001243050288964213,2.120525977034049e-14,0.009900990099009901,6.36717814515203e-05,,,0.011563469779813802
MAP3K8,0.057825880312547456,8.977106769059162e-08,0.0001243050288964213,2.6845192735436285e-13,0.009900990099009901,6.606105519503935e-05,,,0.011563469779813802
RHOH,0.057818545975711656,9.009044754648698e-08,0.0001243050288964213,2.0265122913087907e-11,0.009900990099009901,7.63072727545404e-05,,,0.011563469779813802
LPXN,0.05754833047879476,1.0265401362286042e-07,0.0001243050288964213,1.622801892864345e-11,0.009900990099009901,7.55622302787339e-05,,,0.011563469779813802
PRF1,0.05537253024601027,2.8767397330931033e-07,0.0001243050288964213,1.0606737710361358e-11,0.009900990099009901,6.756475424800188e-05,,,0.011563469779813802
CD79A,0.05135828081009131,1.7482454330863817e-06,0.0001243050288964213,1.4153234140223958e-11,0.009900990099009901,6.011210947778269e-05,,,0.011563469779813802
CD19,0.05067496788396941,2.3474620483021624e-06,0.0001243050288964213,7.40930228282366e-09,0.009900990099009901,8.334444637836509e-05,,,0.011563469779813802
CXCL5,0.04926226108256766,4.268220813230528e-06,0.0001243050288964213,3.482441002233827e-09,0.009900990099009901,7.322463756854496e-05,,,0.011563469779813802
BTNL9,0.04918672722106706,4.4049490699471505e-06,0.0001243050288964213,4.2129905453158756e-07,0.009900990099009901,9.338397270130673e-05,,,0.011563469779813802
TYROBP,0.04863432603625722,5.5399694164348645e-06,0.0001243050288964213,1.1908169128549417e-07,0.009900990099009901,9.114163655892985e-05,,,0.011563469779813802
OXTR,0.048113003402352306,6.8633115563043745e-06,0.0001243050288964213,1.9053717492667488e-09,0.009900990099009901,7.007306892613133e-05,,,0.011563469779813802
HAVCR2,0.04755886291468002,8.598402941206729e-06,0.0001243050288964213,2.621155514859197e-10,0.009900990099009901,5.893800887899452e-05,,,0.011563469779813802
SPIB,0.04639215627661965,1.3713441464058285e-05,0.0001243050288964213,2.0220676777427116e-07,0.009900990099009901,8.271908817917931e-05,,,0.011563469779813802
ANGPT2,0.04517655915595546,2.2056224472044583e-05,0.0001243050288964213,1.1348949668921193e-08,0.009900990099009901,6.843916794864743e-05,,,0.011563469779813802
SLC4A1,0.04447548329658793,2.8861461954021728e-05,0.0001243050288964213,2.3048396524671944e-10,0.009900990099009901,5.36161355972214e-05,,,0.011563469779813802
SSTR2,0.04369076912743399,3.8823600471804554e-05,0.0001243050288964213,6.065260993448618e-08,0.009900990099009901,6.71901037107305e-05,,,0.011563469779813802
